Date,Open,High,Low,Close,Adj Close,Volume
2023-12-04,1050.000000,1148.150024,1022.200012,1104.900024,1104.900024,3365855
2023-12-05,1107.150024,1111.949951,1059.349976,1080.349976,1080.349976,1532927
2023-12-06,1070.599976,1105.000000,1032.000000,1072.250000,1072.250000,1746016
2023-12-07,1100.000000,1155.000000,1071.150024,1126.199951,1126.199951,1529994
2023-12-08,1132.000000,1192.500000,1130.000000,1186.449951,1186.449951,2946858
2023-12-11,1194.000000,1198.300049,1150.699951,1177.449951,1177.449951,1533204
2023-12-12,1178.000000,1185.250000,1081.099976,1102.199951,1102.199951,2335479
2023-12-13,1113.199951,1205.000000,1062.099976,1166.050049,1166.050049,3140457
2023-12-14,1174.800049,1231.300049,1150.150024,1164.599976,1164.599976,2484295
2023-12-15,1164.900024,1169.599976,1105.000000,1113.900024,1113.900024,1839174
2023-12-18,1132.900024,1153.900024,1107.300049,1139.349976,1139.349976,759381
2023-12-19,1142.000000,1150.000000,1127.400024,1134.949951,1134.949951,348661
2023-12-20,1138.000000,1143.449951,1080.000000,1108.400024,1108.400024,758958
2023-12-21,1065.400024,1095.000000,1041.050049,1064.150024,1064.150024,623074
2023-12-22,1074.800049,1122.199951,1074.800049,1114.900024,1114.900024,786067
2023-12-26,1115.500000,1129.550049,1109.000000,1121.300049,1121.300049,448110
2023-12-27,1120.000000,1147.550049,1118.000000,1141.949951,1141.949951,496198
2023-12-28,1149.000000,1164.050049,1132.250000,1150.800049,1150.800049,547795
2023-12-29,1155.000000,1185.849976,1142.000000,1178.900024,1178.900024,858059
2024-01-01,1162.900024,1212.900024,1160.000000,1188.699951,1188.699951,826558
2024-01-02,1180.099976,1219.650024,1171.400024,1201.599976,1201.599976,547303
2024-01-03,1194.050049,1311.150024,1188.000000,1258.250000,1258.250000,723269
2024-01-04,1244.550049,1416.900024,1240.000000,1355.349976,1355.349976,1903112
2024-01-05,1343.150024,1383.050049,1313.050049,1329.650024,1329.650024,1476137
2024-01-08,1336.050049,1364.550049,1311.550049,1329.250000,1329.250000,1191345
2024-01-09,1326.849976,1350.000000,1305.300049,1335.500000,1335.500000,734779
2024-01-10,1385.949951,1385.949951,1325.000000,1364.099976,1364.099976,1553858
2024-01-11,1370.000000,1410.000000,1348.699951,1378.199951,1378.199951,1206845
2024-01-12,1375.099976,1412.000000,1355.750000,1380.550049,1380.550049,955729
2024-01-15,1395.099976,1440.000000,1335.199951,1353.900024,1353.900024,1173631
2024-01-16,1365.000000,1397.699951,1281.500000,1322.699951,1322.699951,1382518
2024-01-17,1302.000000,1311.050049,1273.000000,1288.900024,1288.900024,659790
2024-01-18,1288.900024,1318.250000,1226.000000,1302.099976,1302.099976,863090
2024-01-19,1318.800049,1324.050049,1235.000000,1276.199951,1276.199951,853862
2024-01-23,1295.599976,1299.900024,1077.449951,1136.449951,1136.449951,1523802
2024-01-24,1145.000000,1262.250000,1065.199951,1196.500000,1196.500000,2350268
2024-01-25,1180.099976,1257.000000,1145.050049,1204.699951,1204.699951,1327051
2024-01-29,1205.000000,1230.250000,1162.800049,1212.800049,1212.800049,1005109
2024-01-30,1215.000000,1230.949951,1195.349976,1216.650024,1216.650024,977333
2024-01-31,1228.900024,1302.949951,1217.000000,1265.400024,1265.400024,908595
2024-02-01,1265.400024,1272.949951,1226.300049,1241.699951,1241.699951,418078
2024-02-02,1248.000000,1269.599976,1190.349976,1211.800049,1211.800049,406348
2024-02-05,1180.000000,1229.699951,1163.000000,1200.250000,1200.250000,785469
2024-02-06,1200.949951,1249.900024,1195.800049,1222.900024,1222.900024,267190
2024-02-07,1237.000000,1254.849976,1206.949951,1226.449951,1226.449951,281927
2024-02-08,1224.000000,1240.949951,1201.050049,1212.449951,1212.449951,611497
2024-02-09,1212.449951,1219.849976,1157.500000,1202.500000,1202.500000,558738
2024-02-12,1203.099976,1224.300049,1151.150024,1175.050049,1175.050049,357708
2024-02-13,1140.000000,1164.949951,1101.000000,1143.300049,1143.300049,643137
2024-02-14,1050.000000,1149.800049,1043.300049,1100.750000,1100.750000,1021950
2024-02-15,1126.949951,1140.449951,1104.099976,1132.500000,1132.500000,1092414
2024-02-16,1142.900024,1214.000000,1125.250000,1197.849976,1197.849976,650945
2024-02-19,1215.000000,1228.449951,1151.500000,1162.650024,1162.650024,650188
2024-02-20,1169.800049,1183.900024,1133.800049,1164.500000,1164.500000,642882
2024-02-21,1168.800049,1204.099976,1166.000000,1190.250000,1190.250000,837602
2024-02-22,1190.099976,1228.849976,1189.000000,1212.099976,1212.099976,645625
2024-02-23,1221.500000,1267.000000,1210.849976,1230.400024,1230.400024,1389711
2024-02-26,1223.000000,1254.800049,1214.000000,1222.900024,1222.900024,285015
2024-02-27,1216.250000,1232.599976,1190.000000,1209.949951,1209.949951,983837
2024-02-28,1209.949951,1246.699951,1162.000000,1229.050049,1229.050049,879240
2024-02-29,1201.099976,1218.400024,1132.699951,1166.750000,1166.750000,5787071
2024-03-01,1154.300049,1185.949951,1143.150024,1167.449951,1167.449951,805788
2024-03-04,1213.000000,1213.000000,1173.150024,1180.000000,1180.000000,931156
2024-03-05,1187.000000,1202.000000,1168.900024,1194.599976,1194.599976,613674
2024-03-06,1191.900024,1211.449951,1180.000000,1195.349976,1195.349976,579147
2024-03-07,1210.000000,1246.750000,1159.050049,1181.150024,1181.150024,512742
2024-03-11,1181.150024,1189.800049,1160.349976,1179.650024,1179.650024,569650
2024-03-12,1182.849976,1202.750000,1113.050049,1158.400024,1158.400024,961616
2024-03-13,1135.199951,1159.000000,1048.250000,1123.000000,1123.000000,2104976
2024-03-14,1093.000000,1119.449951,1061.550049,1071.699951,1071.699951,1363698
2024-03-15,1066.849976,1097.900024,1025.000000,1043.500000,1043.500000,2567838
2024-03-18,1020.000000,1038.849976,995.000000,1005.150024,1005.150024,1256250
2024-03-19,1005.000000,1014.000000,967.299988,992.599976,992.599976,830869
2024-03-20,998.000000,1045.949951,995.000000,1036.550049,1036.550049,531753
2024-03-21,1047.050049,1069.000000,1007.200012,1048.650024,1048.650024,1322879
2024-03-22,1065.500000,1119.400024,1065.000000,1100.500000,1100.500000,1096113
2024-03-26,1119.000000,1157.199951,1112.050049,1150.199951,1150.199951,1069965
2024-03-27,1154.900024,1197.900024,1154.900024,1190.750000,1190.750000,737202
2024-03-28,1181.000000,1193.550049,1136.050049,1170.000000,1170.000000,962594
2024-04-01,1188.000000,1274.000000,1188.000000,1267.050049,1267.050049,931780
2024-04-02,1279.750000,1344.500000,1279.250000,1313.650024,1313.650024,1813880
2024-04-03,1308.099976,1338.349976,1271.000000,1301.550049,1301.550049,790813
2024-04-04,1299.949951,1320.000000,1262.449951,1304.400024,1304.400024,803341
2024-04-05,1338.000000,1349.800049,1283.000000,1291.800049,1291.800049,794266
2024-04-08,1309.000000,1328.000000,1262.050049,1275.449951,1275.449951,1184371
2024-04-09,1295.000000,1317.699951,1250.000000,1258.250000,1258.250000,595545
2024-04-10,1265.500000,1286.300049,1235.250000,1248.349976,1248.349976,293819
2024-04-12,1238.000000,1246.900024,1180.000000,1190.650024,1190.650024,1085911
2024-04-15,1166.000000,1238.949951,1160.050049,1217.449951,1217.449951,752583
2024-04-16,1217.800049,1243.750000,1199.150024,1203.150024,1203.150024,530342
2024-04-18,1206.050049,1249.800049,1201.050049,1227.150024,1227.150024,1086324
2024-04-19,1203.000000,1244.000000,1195.699951,1231.050049,1231.050049,448359
2024-04-22,1234.500000,1273.000000,1231.000000,1242.900024,1242.900024,1768616
2024-04-23,1251.949951,1290.000000,1248.449951,1287.449951,1287.449951,573231
