date,rank,symbol,ltp,pct_chg,volume,value_cr,scan_clause,name,pct_change,tag,source,fetched_at,close,close_x_volume
2026-07-03,1,ZENSARTECH,516.1,10.43,60755207.0,3135.58,t1_5pct_liq1cr,Zensar Technologies Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,2,INFY,1047.2,0.61,11653534.0,1220.36,t1_5pct_liq1cr,Infosys Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,3,VOGL,42.79,-4.04,275919861.0,1180.66,t1_5pct_liq1cr,Vedanta Oil and Gas Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,4,VISL,40.52,-4.99,285562853.0,1157.1,t1_5pct_liq1cr,Vedanta Iron & Steel Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,5,PCJEWELLER,10.3,4.57,990529628.0,1020.25,t1_5pct_liq1cr,Pc Jeweller Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,6,IKIO,202.82,19.14,42879871.0,869.69,t1_5pct_liq1cr,IKIO Lighting Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,7,PERSISTENT,4682.7,2.23,1551490.0,726.52,t1_5pct_liq1cr,Persistent Systems Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,8,VEDPOWER,45.71,-6.02,158538274.0,724.68,t1_5pct_liq1cr,Vedanta Power Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,9,AEGISLOG,1325.4,0.26,4605652.0,610.43,t1_5pct_liq1cr,Aegis Logistics Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,10,COFORGE,1464.0,1.53,4053069.0,593.37,t1_5pct_liq1cr,Coforge (Niit Tech) Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,11,SUVEN,327.6,9.95,10664300.0,349.36,t1_5pct_liq1cr,Suven Life Sciences Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,12,FORCEMOT,18804.0,-2.91,183601.0,345.24,t1_5pct_liq1cr,Force Motors Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,13,MPHASIS,2296.6,2.28,1356520.0,311.54,t1_5pct_liq1cr,Mphasis Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,14,PARAS,1294.0,-3.71,1961674.0,253.84,t1_5pct_liq1cr,Paras Defence and Space Technologies Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,15,WABAG,2080.9,-4.99,1100309.0,228.96,t1_5pct_liq1cr,Va Tech Wabag Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,16,THANGAMAYL,6159.5,-2.47,272660.0,167.94,t1_5pct_liq1cr,Thangamayil Jewellery Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,17,EXIDEIND,416.6,-0.66,3780016.0,157.48,t1_5pct_liq1cr,Exide Industries Limited,,t1_5pct_liq1cr,chartink,,,
2026-07-03,18,SIKA,1220.7,-2.71,954863.0,116.56,t1_5pct_liq1cr,Sika Interplant Systems Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,19,BHARATSE,239.73,-0.43,4710426.0,112.92,t1_5pct_liq1cr,Bharat Seats Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,20,COMSYN,200.31,7.26,4482411.0,89.79,t1_5pct_liq1cr,Commercial Syn Bags Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,21,SONACOMS,660.1,-0.33,1237326.0,81.68,t1_5pct_liq1cr,Sona BLW Precision Forgings Ltd,,t1_5pct_liq1cr,chartink,,,
2026-07-03,22,MAPMYINDIA,938.35,2.62,862146.0,80.9,t1_5pct_liq1cr,C.E. Info Systems Ltd,,t1_5pct_liq1cr,chartink,,,
