SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,snapshot_dt
TITAN,EQ,2634.85,2637,2614.95,2633.2,2631,2629.55,630987,1657147815,25-Apr-23,48376,25/04/23
TITAN,EQ,2633,2647.65,2625.65,2641,2635.9,2633.2,631279,1666421002,26-Apr-23,54000,26/04/23
TITAN,EQ,2641,2674,2631.5,2663.45,2660.4,2641,620037,1642681811,27-Apr-23,40889,27/04/23
TITAN,EQ,2672.45,2679.3,2619.5,2641.85,2637,2663.45,1567472,4141692192,28-Apr-23,76323,28/04/23
TITAN,EQ,2657,2674,2633.4,2663.85,2664.95,2641.85,726439,1928084581,02-May-23,56556,02/05/23
TITAN,EQ,2675,2679.5,2643.1,2654.05,2651,2663.85,808211,2149787906,03-May-23,46595,03/05/23
TITAN,EQ,2679.7,2694.25,2656.55,2670.4,2666.2,2654.05,1936641,5178293525,04-May-23,87046,04/05/23
TITAN,EQ,2670.6,2766,2666.3,2732.9,2732,2670.4,2190777,5977559106,05-May-23,94680,05/05/23
TITAN,EQ,2732.95,2770,2732.9,2751.25,2753.25,2732.9,848638,2338841940,08-May-23,65395,08/05/23
TITAN,EQ,2753.3,2790,2738.45,2748.4,2746,2751.25,893686,2468096877,09-May-23,76043,09/05/23
TITAN,EQ,2760,2767.7,2736.2,2745.45,2746,2748.4,522149,1433810695,10-May-23,40547,10/05/23
TITAN,EQ,2758,2765,2744.05,2757.85,2760.8,2745.45,621067,1709360739,11-May-23,49812,11/05/23
TITAN,EQ,2760.8,2784.5,2756.85,2773.2,2771.95,2757.85,705516,1956733169,12-May-23,57873,12/05/23
TITAN,EQ,2774,2802.1,2764.25,2779.55,2773,2773.2,772914,2152327874,15-May-23,70305,15/05/23
TITAN,EQ,2785,2800.8,2774.55,2790.25,2788.4,2779.55,548885,1532428058,16-May-23,50533,16/05/23
TITAN,EQ,2785,2790,2750.05,2762.4,2765,2790.25,539547,1491776881,17-May-23,50158,17/05/23
TITAN,EQ,2782,2782,2716.1,2721.85,2722,2762.4,612441,1675875970,18-May-23,34062,18/05/23
TITAN,EQ,2719.95,2719.95,2683.05,2701.65,2703,2721.85,846419,2286023056,19-May-23,49857,19/05/23
TITAN,EQ,2701.6,2734,2701.1,2712.55,2715,2701.65,559506,1521493259,22-May-23,36971,22/05/23
TITAN,EQ,2719.95,2726.4,2677.3,2683.45,2692,2712.55,713749,1923263401,23-May-23,47750,23/05/23
