date,symbol,open,high,low,close,volume,pct_change,vol_ratio_20d,rsi_wilder_14,ma5,ma20,ma50,ma200,dist_52wH_pct,dist_20dH_pct,gap_pct,atr_14,upper_shadow_pct,close_position_in_range,return_5d,return_20d,ut1_state,hh_count,hl_count,ma20_slope_pct,roc_10,momentum_20,williams_r_14,stoch_k_14,stoch_d_3,cci_20,bb_upper_20,bb_lower_20,bb_pctb_20,bb_width_20,hist_vol_20,atr_pct_14,macd_12_26,macd_signal_9,macd_hist,adx_14,ema_9,ema_21,obv,vwap_20,cmf_20,vol_zscore_20,supertrend_10_3,supertrend_10_3_dir,donchian_upper_20,donchian_lower_20,donchian_pos_20,range_pct,body_pct
2026-04-13,POWERGRID,299.950012,302.350006,297.649994,300.350006,15681799,-0.792731,1.091679,,299.012505,299.012505,299.012505,299.012505,-1.037889,-1.037889,-0.924851,,42.553081,0.574469,,,N/A,0,0,,,,-31.818140,68.181860,71.940288,58.129796,305.737268,292.287741,0.599446,4.497981,19.800926,,1.076902,0.381424,0.695478,,297.630005,296.247075,15207917.000000,299.121527,0.121560,0.448776,,-1.000000,303.500000,293.600006,0.681819,1.564845,8.510486
2026-04-15,POWERGRID,303.399994,313.399994,301.250000,312.450012,21897202,4.028635,1.379671,,301.700006,301.700006,301.700006,301.700006,-0.303121,-0.303121,1.015478,,7.818783,0.921812,,,N/A,0,0,,,,-4.797890,95.202110,85.269403,210.053354,315.055534,288.344478,0.902455,8.853515,31.496399,,2.223026,0.749745,1.473281,,300.594007,297.720070,37105119.000000,301.856534,0.320803,1.428033,,-1.000000,313.399994,293.600006,0.952021,3.888620,74.485785
2026-04-16,POWERGRID,315.000000,317.000000,310.500000,312.250000,21510277,-0.064014,1.279525,,305.180005,303.458338,303.458338,303.458338,-1.498423,-1.498423,0.816127,,30.769231,0.269231,5.901304,,N/A,0,0,2.919563,,,-20.299151,79.700849,81.028273,178.243465,318.185785,288.730892,0.798479,9.706404,29.382255,,3.079697,1.215735,1.863962,,302.925205,299.040972,15594842.000000,304.286238,0.153965,1.062935,,-1.000000,317.000000,293.600006,0.797008,2.081665,42.307692
2026-04-17,POWERGRID,313.299988,318.950012,311.399994,318.100006,13609827,1.873501,0.832211,,309.180005,305.550005,305.550005,305.550005,-0.266501,-0.266501,0.336265,,11.258332,0.887417,6.709158,,N/A,0,0,3.060966,,,-3.353080,96.646920,90.516626,153.725612,322.964081,288.135930,0.860341,11.398511,26.676378,,4.182449,1.809078,2.373371,,305.960165,300.773612,29204669.000000,305.696689,0.227778,-0.651283,,-1.000000,318.950012,293.600006,0.966469,2.373473,63.576247
2026-04-20,POWERGRID,319.000000,323.049988,315.549988,319.700012,10955277,0.502988,0.698723,,312.570007,307.318756,307.318756,307.318756,-1.036984,-1.036984,0.282928,,44.666341,0.553337,5.598683,,N/A,0,0,2.931367,,,-11.375136,88.624864,88.324211,144.870007,326.293475,288.344038,0.826257,12.348559,24.799527,,5.126402,2.472543,2.653859,,308.708135,302.494194,40159946.000000,306.896453,0.217201,-1.087762,,-1.000000,323.049988,293.600006,0.886249,2.345949,9.333496
2026-04-21,POWERGRID,318.950012,322.000000,318.000000,319.350006,8342335,-0.109480,0.561251,,316.370007,308.655562,308.655562,308.655562,-1.145328,-1.145328,-0.234595,,66.249847,0.337502,6.325953,,N/A,0,0,3.224968,,,-12.563613,87.436387,90.902723,119.281062,328.132952,289.178172,0.774535,12.620793,24.061612,,5.779624,3.133959,2.645665,,310.836509,304.026540,31817611.000000,307.700095,0.183389,-1.375408,,-1.000000,323.049988,293.600006,0.874364,1.252544,9.999847
2026-04-22,POWERGRID,319.750000,322.000000,316.000000,319.750000,7112538,0.125253,0.504840,,317.830005,309.765005,309.765005,309.765005,-1.021510,-1.021510,0.125253,,37.500000,0.625000,2.336370,,N/A,0,0,2.673185,,,-11.205398,88.794602,88.285284,97.189113,329.423369,290.106642,0.753963,12.692437,22.992156,,6.257452,3.758658,2.498794,,312.619207,305.455946,38930149.000000,308.283181,0.186752,-1.368347,297.110169,1.000000,323.049988,293.600006,0.887946,1.876466,0.000000
2026-04-23,POWERGRID,320.000000,321.850006,318.049988,319.149994,7294961,-0.187649,0.541528,,319.210004,310.618186,310.618186,310.618186,-1.207242,-1.207242,0.078186,,48.684137,0.289474,2.209766,,N/A,0,0,2.359417,8.241474,,-13.242772,86.757228,87.662739,89.109019,330.107530,291.128843,0.718884,12.548746,22.371562,,6.512644,4.309455,2.203189,,313.925365,306.700859,31635188.000000,308.844408,0.156830,-1.175845,299.109144,1.000000,323.049988,293.600006,0.867572,1.190668,22.368474
2026-04-24,POWERGRID,316.000000,317.899994,314.500000,316.399994,9980241,-0.861664,0.757216,,318.870001,311.100004,311.100004,311.100004,-2.058503,-2.058503,-0.986995,,44.117726,0.558823,-0.534427,,N/A,0,0,1.816396,6.138875,,-22.580638,77.419362,84.323730,53.001239,329.979813,292.220194,0.640361,12.137453,22.671292,,6.418990,4.731362,1.687628,,314.420290,307.582599,21654947.000000,309.312762,0.154357,-0.626402,299.109144,1.000000,323.049988,293.600006,0.774194,1.074587,11.764547
2026-04-27,POWERGRID,318.000000,324.950012,316.950012,320.899994,9334181,1.422250,0.724460,,319.109998,311.853849,311.853849,311.853849,-1.246351,-1.246351,0.505691,,50.625229,0.493748,0.375346,,N/A,0,0,1.475697,5.995043,,-12.918716,87.081284,83.752624,88.049250,330.729600,292.978098,0.739623,12.105511,21.902186,,6.631438,5.111377,1.520061,,315.716231,308.793271,30989128.000000,309.960351,0.145058,-0.709190,300.248417,1.000000,324.950012,293.600006,0.870813,2.492989,36.249924
