rsi_min,rsi_max,vol_min,dist_min,dist_max,adx_min,slope_min,cmf_min,range_pct_max,atr_pct_max,body_pct_min,trades,win_rate,avg_pct,targets,stops,times
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,,0.5,9,77.77777777777779,2.2518478478509802,1,0,8
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,4.0,,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,4.0,0.3,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,4.0,0.5,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,3.5,,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,3.5,0.3,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,3.5,0.5,8,75.0,1.5666624954990205,1,0,7
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,3.0,,7,71.42857142857143,1.6052013476013531,1,0,6
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,3.0,0.3,7,71.42857142857143,1.6052013476013531,1,0,6
58,70,1.0,-5,0.0,15,0.2,0.0,3.0,3.0,0.5,7,71.42857142857143,1.6052013476013531,1,0,6
58,70,1.0,-5,0.0,15,0.2,0.05,,,,22,63.63636363636363,0.9202562084680797,1,4,17
58,70,1.0,-5,0.0,15,0.2,0.05,,,0.3,22,63.63636363636363,0.9202562084680797,1,4,17
58,70,1.0,-5,0.0,15,0.2,0.05,,,0.5,22,63.63636363636363,0.9202562084680797,1,4,17
58,70,1.0,-5,0.0,15,0.2,0.05,,4.0,,14,71.42857142857143,1.3978815200895467,0,1,13
58,70,1.0,-5,0.0,15,0.2,0.05,,4.0,0.3,14,71.42857142857143,1.3978815200895467,0,1,13
58,70,1.0,-5,0.0,15,0.2,0.05,,4.0,0.5,14,71.42857142857143,1.3978815200895467,0,1,13
58,70,1.0,-5,0.0,15,0.2,0.05,,3.5,,10,80.0,1.7705362025011677,0,0,10
58,70,1.0,-5,0.0,15,0.2,0.05,,3.5,0.3,10,80.0,1.7705362025011677,0,0,10
58,70,1.0,-5,0.0,15,0.2,0.05,,3.5,0.5,10,80.0,1.7705362025011677,0,0,10
58,70,1.0,-5,0.0,15,0.2,0.05,,3.0,,6,83.33333333333334,1.3308865054594274,0,0,6
58,70,1.0,-5,0.0,15,0.2,0.05,,3.0,0.3,6,83.33333333333334,1.3308865054594274,0,0,6
58,70,1.0,-5,0.0,15,0.2,0.05,,3.0,0.5,6,83.33333333333334,1.3308865054594274,0,0,6
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,,,11,72.72727272727273,0.8515443072718671,0,1,10
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,,0.3,11,72.72727272727273,0.8515443072718671,0,1,10
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,,0.5,11,72.72727272727273,0.8515443072718671,0,1,10
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,4.0,,9,77.77777777777779,1.653906635253178,0,0,9
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,4.0,0.3,9,77.77777777777779,1.653906635253178,0,0,9
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,4.0,0.5,9,77.77777777777779,1.653906635253178,0,0,9
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,3.5,,8,75.0,1.0219506549121744,0,0,8
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,3.5,0.3,8,75.0,1.0219506549121744,0,0,8
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,3.5,0.5,8,75.0,1.0219506549121744,0,0,8
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,3.0,,5,80.0,1.4553978065513138,0,0,5
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,3.0,0.3,5,80.0,1.4553978065513138,0,0,5
58,70,1.0,-5,0.0,15,0.2,0.05,5.0,3.0,0.5,5,80.0,1.4553978065513138,0,0,5
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,,,7,71.42857142857143,1.1273164589488451,0,0,7
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,,0.3,7,71.42857142857143,1.1273164589488451,0,0,7
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,,0.5,7,71.42857142857143,1.1273164589488451,0,0,7
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,4.0,,7,71.42857142857143,1.1273164589488451,0,0,7
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,4.0,0.3,7,71.42857142857143,1.1273164589488451,0,0,7
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,4.0,0.5,7,71.42857142857143,1.1273164589488451,0,0,7
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,3.5,,7,71.42857142857143,1.1273164589488451,0,0,7
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,3.5,0.3,7,71.42857142857143,1.1273164589488451,0,0,7
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,3.5,0.5,7,71.42857142857143,1.1273164589488451,0,0,7
58,70,1.0,-5,0.0,15,0.2,0.05,4.0,3.0,,4,75.0,1.6122936114769713,0,0,4
