rsi_min,rsi_max,vol_min,dip_min,dip_max,ma20_mult,slope_min,adx_min,roc_10_min,cci_20_min,macd_hist_min,atr_pct_max,trades,win_rate,avg_pct,targets,stops,times
48,65,0.8,-15,-5,0.96,0.0,20,2.0,,0.0,,6,66.66666666666666,6.783162474774393,3,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,,0.0,5.0,2,50.0,4.253625039977181,1,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,,0.0,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,2.0,0.0,,,8,75.0,5.723254774640833,3,0,5
48,65,0.8,-15,-5,0.96,0.0,20,2.0,0.0,,5.0,4,75.0,3.398578357108668,1,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,0.0,,4.0,1,100.0,2.088473459028277,0,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,0.0,-0.5,,6,66.66666666666666,6.783162474774393,3,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,0.0,-0.5,5.0,2,50.0,4.253625039977181,1,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,0.0,-0.5,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,2.0,0.0,0.0,,6,66.66666666666666,6.783162474774393,3,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,0.0,0.0,5.0,2,50.0,4.253625039977181,1,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,0.0,0.0,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,2.0,40.0,,,7,71.42857142857143,6.242509248299769,3,0,4
48,65,0.8,-15,-5,0.96,0.0,20,2.0,40.0,,5.0,3,66.66666666666666,3.8352799898021317,1,0,2
48,65,0.8,-15,-5,0.96,0.0,20,2.0,40.0,,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,2.0,40.0,-0.5,,6,66.66666666666666,6.783162474774393,3,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,40.0,-0.5,5.0,2,50.0,4.253625039977181,1,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,40.0,-0.5,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,2.0,40.0,0.0,,6,66.66666666666666,6.783162474774393,3,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,40.0,0.0,5.0,2,50.0,4.253625039977181,1,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,40.0,0.0,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,2.0,60.0,,,6,66.66666666666666,6.783162474774393,3,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,60.0,,5.0,2,50.0,4.253625039977181,1,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,60.0,,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,2.0,60.0,-0.5,,6,66.66666666666666,6.783162474774393,3,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,60.0,-0.5,5.0,2,50.0,4.253625039977181,1,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,60.0,-0.5,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,2.0,60.0,0.0,,6,66.66666666666666,6.783162474774393,3,0,3
48,65,0.8,-15,-5,0.96,0.0,20,2.0,60.0,0.0,5.0,2,50.0,4.253625039977181,1,0,1
48,65,0.8,-15,-5,0.96,0.0,20,2.0,60.0,0.0,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,25,,,,,23,60.86956521739131,2.85378310490711,7,6,10
48,65,0.8,-15,-5,0.96,0.0,25,,,,5.0,17,64.70588235294117,2.798409519181567,5,4,8
48,65,0.8,-15,-5,0.96,0.0,25,,,,4.0,9,66.66666666666666,3.2637759649746334,3,2,4
48,65,0.8,-15,-5,0.96,0.0,25,,,-0.5,,11,72.72727272727273,5.450035295623902,5,2,4
48,65,0.8,-15,-5,0.96,0.0,25,,,-0.5,5.0,8,62.5,3.400048531482862,3,2,3
48,65,0.8,-15,-5,0.96,0.0,25,,,-0.5,4.0,4,50.0,2.999999999999999,2,2,0
48,65,0.8,-15,-5,0.96,0.0,25,,,0.0,,9,66.66666666666666,5.6932198756412085,4,1,4
48,65,0.8,-15,-5,0.96,0.0,25,,,0.0,5.0,5,60.0,3.8094508224157764,2,1,2
48,65,0.8,-15,-5,0.96,0.0,25,,,0.0,4.0,2,50.0,3.0000000000000027,1,1,0
48,65,0.8,-15,-5,0.96,0.0,25,,0.0,,,18,61.111111111111114,3.1306389548400064,6,5,7
48,65,0.8,-15,-5,0.96,0.0,25,,0.0,,5.0,12,66.66666666666666,3.1906209666952683,4,3,5
48,65,0.8,-15,-5,0.96,0.0,25,,0.0,,4.0,6,66.66666666666666,4.348078909838049,3,2,1
48,65,0.8,-15,-5,0.96,0.0,25,,0.0,-0.5,,11,72.72727272727273,5.450035295623902,5,2,4
48,65,0.8,-15,-5,0.96,0.0,25,,0.0,-0.5,5.0,8,62.5,3.400048531482862,3,2,3
48,65,0.8,-15,-5,0.96,0.0,25,,0.0,-0.5,4.0,4,50.0,2.999999999999999,2,2,0
48,65,0.8,-15,-5,0.96,0.0,25,,0.0,0.0,,9,66.66666666666666,5.6932198756412085,4,1,4
48,65,0.8,-15,-5,0.96,0.0,25,,0.0,0.0,5.0,5,60.0,3.8094508224157764,2,1,2
48,65,0.8,-15,-5,0.96,0.0,25,,0.0,0.0,4.0,2,50.0,3.0000000000000027,1,1,0
48,65,0.8,-15,-5,0.96,0.0,25,,40.0,,,12,75.0,5.245748178442915,5,2,5
48,65,0.8,-15,-5,0.96,0.0,25,,40.0,,5.0,8,75.0,4.52487226766437,3,1,4
48,65,0.8,-15,-5,0.96,0.0,25,,40.0,,4.0,3,66.66666666666666,6.000000000000007,2,1,0
48,65,0.8,-15,-5,0.96,0.0,25,,40.0,-0.5,,9,77.77777777777779,5.994487583540326,4,1,4
48,65,0.8,-15,-5,0.96,0.0,25,,40.0,-0.5,5.0,6,66.66666666666666,3.5333980419771507,2,1,3
48,65,0.8,-15,-5,0.96,0.0,25,,40.0,-0.5,4.0,2,50.0,3.0000000000000027,1,1,0
48,65,0.8,-15,-5,0.96,0.0,25,,40.0,0.0,,9,66.66666666666666,5.6932198756412085,4,1,4
48,65,0.8,-15,-5,0.96,0.0,25,,40.0,0.0,5.0,5,60.0,3.8094508224157764,2,1,2
48,65,0.8,-15,-5,0.96,0.0,25,,40.0,0.0,4.0,2,50.0,3.0000000000000027,1,1,0
48,65,0.8,-15,-5,0.96,0.0,25,,60.0,,,8,62.5,4.904872360096359,3,1,4
48,65,0.8,-15,-5,0.96,0.0,25,,60.0,,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,25,,60.0,,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,25,,60.0,-0.5,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,25,,60.0,-0.5,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,25,,60.0,-0.5,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,25,,60.0,0.0,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,25,,60.0,0.0,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,25,,60.0,0.0,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,,,,13,76.92307692307693,5.257807783624626,5,1,7
48,65,0.8,-15,-5,0.96,0.0,25,0.0,,,5.0,9,77.77777777777779,4.254161288927026,3,1,5
48,65,0.8,-15,-5,0.96,0.0,25,0.0,,,4.0,3,100.0,8.696157819676104,2,0,1
48,65,0.8,-15,-5,0.96,0.0,25,0.0,,-0.5,,8,87.5,7.493798531482868,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,,-0.5,5.0,5,80.0,5.440077650372584,2,0,3
48,65,0.8,-15,-5,0.96,0.0,25,0.0,,-0.5,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,,0.0,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,,0.0,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,25,0.0,,0.0,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,0.0,,,13,76.92307692307693,5.257807783624626,5,1,7
48,65,0.8,-15,-5,0.96,0.0,25,0.0,0.0,,5.0,9,77.77777777777779,4.254161288927026,3,1,5
48,65,0.8,-15,-5,0.96,0.0,25,0.0,0.0,,4.0,3,100.0,8.696157819676104,2,0,1
48,65,0.8,-15,-5,0.96,0.0,25,0.0,0.0,-0.5,,8,87.5,7.493798531482868,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,0.0,-0.5,5.0,5,80.0,5.440077650372584,2,0,3
48,65,0.8,-15,-5,0.96,0.0,25,0.0,0.0,-0.5,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,0.0,0.0,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,0.0,0.0,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,25,0.0,0.0,0.0,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,40.0,,,10,90.0,7.4948978141315,5,0,5
48,65,0.8,-15,-5,0.96,0.0,25,0.0,40.0,,5.0,7,85.71428571428571,6.028425448759282,3,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,40.0,,4.0,2,100.0,12.000000000000018,2,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,40.0,-0.5,,8,87.5,7.493798531482868,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,40.0,-0.5,5.0,5,80.0,5.440077650372584,2,0,3
48,65,0.8,-15,-5,0.96,0.0,25,0.0,40.0,-0.5,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,40.0,0.0,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,40.0,0.0,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,25,0.0,40.0,0.0,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,60.0,,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,60.0,,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,25,0.0,60.0,,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,60.0,-0.5,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,60.0,-0.5,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,25,0.0,60.0,-0.5,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,25,0.0,60.0,0.0,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,25,0.0,60.0,0.0,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,25,0.0,60.0,0.0,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,25,1.0,,,,11,72.72727272727273,5.12054929356829,4,1,6
48,65,0.8,-15,-5,0.96,0.0,25,1.0,,,5.0,7,71.42857142857143,3.4477596372227426,2,1,4
48,65,0.8,-15,-5,0.96,0.0,25,1.0,,,4.0,2,100.0,7.044236729514147,1,0,1
48,65,0.8,-15,-5,0.96,0.0,25,1.0,,-0.5,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,1.0,,-0.5,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,25,1.0,,-0.5,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,25,1.0,,0.0,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,1.0,,0.0,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,25,1.0,,0.0,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,25,1.0,0.0,,,11,72.72727272727273,5.12054929356829,4,1,6
48,65,0.8,-15,-5,0.96,0.0,25,1.0,0.0,,5.0,7,71.42857142857143,3.4477596372227426,2,1,4
48,65,0.8,-15,-5,0.96,0.0,25,1.0,0.0,,4.0,2,100.0,7.044236729514147,1,0,1
48,65,0.8,-15,-5,0.96,0.0,25,1.0,0.0,-0.5,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,1.0,0.0,-0.5,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,25,1.0,0.0,-0.5,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,25,1.0,0.0,0.0,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,25,1.0,0.0,0.0,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,25,1.0,0.0,0.0,4.0,1,100.0,12.000000000000016,1,0,0
