Date,Rank,Symbol,Previous Close (₹),Current Close (₹),Daily Gain (%),Volume,Value Traded (₹ Cr)
2026-06-12,4,MOTILALOFS,831.60,888.45,6.84,"3,169,428",281.59
2026-06-12,5,MUTHOOTFIN,2890.00,3042.20,5.27,"733,004",222.99
2026-06-12,6,JYOTICNC,632.90,681.70,7.71,"2,844,588",193.92
2026-06-12,7,AEROFLEX,408.55,448.10,9.68,"2,868,692",128.55
2026-06-12,8,NUVAMA,1510.20,1588.10,5.16,"474,650",75.38
2026-06-12,9,LLOYDSENGG,66.73,70.94,6.31,"7,051,380",50.02
2026-06-15,1,KALYANKJIL,344.75,383.00,11.09,"39,244,670",1503.07
2026-06-15,2,TRENT,2755.30,2901.10,5.29,"2,230,325",647.04
2026-06-15,3,APARINDS,15221.00,15986.00,5.03,"235,859",377.04
2026-06-15,4,AEROFLEX,448.10,478.00,6.67,"5,416,719",258.92
2026-06-15,5,MOTILALOFS,888.45,939.45,5.74,"2,438,845",229.12
2026-06-15,6,UNOMINDA,1057.70,1125.70,6.43,"1,344,806",151.38
2026-06-16,1,NETWEB,4612.30,4884.40,5.90,"3,126,893",1527.30
2026-06-16,2,LLOYDSENGG,71.35,79.94,12.04,"100,068,323",799.95
2026-06-16,3,TARSONS,206.73,238.73,15.48,"4,321,347",103.16
